species_folder,images
00197_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Carabus_granulatus,60
00198_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Carabus_nemoralis,60
00199_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_aurulenta,60
00200_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_campestris,60
00201_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_duodecimguttata,60
00202_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_formosa,60
00203_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_hirticollis,60
00204_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_hybrida,60
00205_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_longilabris,60
00206_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_ocellata,60
00207_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_oregona,60
00208_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_punctulata,60
00209_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_purpurea,60
00210_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_repanda,60
00211_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_scutellaris,60
00212_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_sexguttata,60
00213_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_tranquebarica,60
00214_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Cicindela_trifasciata,60
00215_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Harpalus_rufipes,60
00216_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Scaphinotus_angusticollis,60
00217_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Scarites_subterraneus,60
00218_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Tetracha_carolina,60
00219_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Agapanthia_villosoviridescens,60
00220_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Analeptura_lineola,60
00221_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Aromia_moschata,60
00222_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Cerambyx_scopolii,60
00223_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Clytus_arietis,60
00224_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Clytus_ruricola,60
00225_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Dendrobias_mandibularis,60
00226_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Desmocerus_palliatus,60
00227_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Eburia_quadrigeminata,60
00228_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Elaphidion_mucronatum,60
00229_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Graphisurus_fasciatus,60
00230_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Knulliana_cincta,60
00231_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Leptura_quadrifasciata,60
00232_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Lepturobosca_chrysocoma,60
00233_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Mallodon_dasystomus,60
00234_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Megacyllene_robiniae,60
00235_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Monochamus_clamator,60
00236_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Monochamus_notatus,60
00237_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Monochamus_scutellatus,60
00238_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Morimus_asper,60
00239_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Neoclytus_acuminatus,60
00240_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Orthosoma_brunneum,60
00241_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Plectrodera_scalator,60
00242_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Prionoplus_reticularis,60
00243_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Prionus_californicus,60
00244_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Prionus_coriarius,60
00245_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Prionus_imbricornis,60
00246_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Prionus_laticollis,60
00247_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Pseudovadonia_livida,60
00248_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rhagium_inquisitor,60
00249_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rhagium_mordax,60
00250_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rosalia_funebris,60
00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata,60
00252_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Sphaenothecus_bilineatus,60
00253_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Stenurella_melanura,60
00254_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Stictoleptura_canadensis,60
00255_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Stictoleptura_rubra,60
00256_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Strangalepta_abbreviata,60
00257_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Strangalia_luteicornis,60
00258_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Tetraopes_femoratus,60
00259_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Tetraopes_tetrophthalmus,60
00260_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Trichocnemis_spiculatus,60
00261_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Typocerus_velutinus,60
00262_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Typocerus_zebra,60
00263_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Xylotrechus_colonus,60
00264_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Acalymma_vittatum,60
00265_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Agelastica_alni,60
00266_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Anomoea_laticlavia,60
00267_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Aspidimorpha_miliaris,60
00268_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Cassida_rubiginosa,60
00269_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Cerotoma_trifurcata,60
00270_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Charidotella_sexpunctata,60
00271_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysochus_auratus,60
00272_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysochus_cobaltinus,60
00273_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysolina_americana,60
00274_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysolina_bankii,60
00275_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysolina_fastuosa,60
00276_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysomela_populi,60
00277_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysomela_scripta,60
00278_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysomela_vigintipunctata,60
00279_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Clytra_laeviuscula,60
00280_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Deloyala_guttata,60
00281_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Diabrotica_balteata,60
00282_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Diabrotica_undecimpunctata,60
00283_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Disonycha_glabrata,60
00284_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Galeruca_tanaceti,60
00285_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Gastrophysa_viridula,60
00286_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Helocassis_clavata,60
00287_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Labidomera_clivicollis,60
00288_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Lema_daturaphila,60
00289_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_decemlineata,60
00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta,60
00291_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Lilioceris_lilii,60
00292_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Omophoita_cyanipennis,60
00293_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Ophraella_communa,60
00294_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Plagiodera_versicolora,60
00295_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Timarcha_tenebricosa,60
00296_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Trachymela_sloanei,60
00297_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Xanthogaleruca_luteola,60
00298_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Zygogramma_signatipennis,60
00299_Animalia_Arthropoda_Insecta_Coleoptera_Cleridae_Trichodes_alvearius,60
00300_Animalia_Arthropoda_Insecta_Coleoptera_Cleridae_Trichodes_apiarius,60
00301_Animalia_Arthropoda_Insecta_Coleoptera_Cleridae_Trichodes_ornatus,60
00302_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Adalia_bipunctata,60
00303_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Adalia_decempunctata,60
00304_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Anatis_ocellata,60
00305_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Calvia_quatuordecimguttata,60
00306_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cheilomenes_lunata,60
00307_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cheilomenes_sexmaculata,60
00308_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Chilocorus_stigma,60
00309_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coccinella_californica,60
00310_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coccinella_septempunctata,60
00311_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coccinella_transversalis,60
00312_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coccinella_trifasciata,60
00313_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coccinella_undecimpunctata,60
00314_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coelophora_inaequalis,60
00315_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Coleomegilla_maculata,60
00316_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cryptolaemus_montrouzieri,60
00317_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cycloneda_munda,60
00318_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cycloneda_polita,60
00319_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Cycloneda_sanguinea,60
00320_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Epilachna_mexicana,60
00321_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Exochomus_quadripustulatus,60
00322_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Halmus_chalybeus,60
00323_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Halyzia_sedecimguttata,60
00324_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Harmonia_axyridis,60
00325_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Harmonia_conformis,60
00326_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Henosepilachna_vigintioctopunctata,60
00327_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Hippodamia_convergens,60
00328_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Hippodamia_variegata,60
00329_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Illeis_galbula,60
00330_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Olla_v-nigrum,60
00331_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Propylea_quatuordecimpunctata,60
00332_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Psyllobora_vigintiduopunctata,60
00333_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Psyllobora_vigintimaculata,60
00334_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Cactophagus_spinolae,60
00335_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Cyrtepistomus_castaneus,60
00336_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Diaprepes_abbreviatus,60
00337_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Larinus_carlinae,60
00338_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Otiorhynchus_sulcatus,60
00339_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Pantomorus_cervinus,60
00340_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Phyllobius_pomaceus,60
00341_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Polydrusus_formosus,60
00342_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Rhodobaenus_quinquepunctatus,60
00343_Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Rhynchophorus_ferrugineus,60
00344_Animalia_Arthropoda_Insecta_Coleoptera_Dermestidae_Anthrenus_verbasci,60
00345_Animalia_Arthropoda_Insecta_Coleoptera_Dermestidae_Dermestes_lardarius,60
00346_Animalia_Arthropoda_Insecta_Coleoptera_Elateridae_Agrypnus_murinus,60
00347_Animalia_Arthropoda_Insecta_Coleoptera_Elateridae_Alaus_lusciosus,60
00348_Animalia_Arthropoda_Insecta_Coleoptera_Elateridae_Alaus_oculatus,60
00349_Animalia_Arthropoda_Insecta_Coleoptera_Erotylidae_Cypherotylus_californicus,60
00350_Animalia_Arthropoda_Insecta_Coleoptera_Erotylidae_Megalodacne_heros,60
00351_Animalia_Arthropoda_Insecta_Coleoptera_Geotrupidae_Anoplotrupes_stercorosus,60
00352_Animalia_Arthropoda_Insecta_Coleoptera_Geotrupidae_Trypocopris_vernalis,60
00353_Animalia_Arthropoda_Insecta_Coleoptera_Lampyridae_Ellychnia_corrusca,60
00354_Animalia_Arthropoda_Insecta_Coleoptera_Lampyridae_Lampyris_noctiluca,60
00355_Animalia_Arthropoda_Insecta_Coleoptera_Lampyridae_Lucidota_atra,60
00356_Animalia_Arthropoda_Insecta_Coleoptera_Lampyridae_Photinus_pyralis,60
00357_Animalia_Arthropoda_Insecta_Coleoptera_Lucanidae_Dorcus_parallelipipedus,60
00358_Animalia_Arthropoda_Insecta_Coleoptera_Lucanidae_Lucanus_capreolus,60
00359_Animalia_Arthropoda_Insecta_Coleoptera_Lucanidae_Lucanus_cervus,60
00360_Animalia_Arthropoda_Insecta_Coleoptera_Lucanidae_Lucanus_elaphus,60
00361_Animalia_Arthropoda_Insecta_Coleoptera_Lucanidae_Serrognathus_titanus,60
00362_Animalia_Arthropoda_Insecta_Coleoptera_Lycidae_Calopteron_reticulatum,60
00363_Animalia_Arthropoda_Insecta_Coleoptera_Lycidae_Calopteron_terminale,60
00364_Animalia_Arthropoda_Insecta_Coleoptera_Meloidae_Cysteodemus_armatus,60
00365_Animalia_Arthropoda_Insecta_Coleoptera_Meloidae_Epicauta_pennsylvanica,60
00366_Animalia_Arthropoda_Insecta_Coleoptera_Meloidae_Lytta_magister,60
00367_Animalia_Arthropoda_Insecta_Coleoptera_Meloidae_Meloe_proscarabaeus,60
00368_Animalia_Arthropoda_Insecta_Coleoptera_Meloidae_Meloe_violaceus,60
00369_Animalia_Arthropoda_Insecta_Coleoptera_Melyridae_Malachius_bipustulatus,60
00370_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_femorata,60
00371_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_nobilis,60
00372_Animalia_Arthropoda_Insecta_Coleoptera_Passalidae_Odontotaenius_disjunctus,60
00373_Animalia_Arthropoda_Insecta_Coleoptera_Pyrochroidae_Pyrochroa_coccinea,60
00374_Animalia_Arthropoda_Insecta_Coleoptera_Pyrochroidae_Pyrochroa_serraticornis,60
00375_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Amphimallon_solstitiale,60
00376_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Callistethus_marginatus,60
00377_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Cetonia_aurata,60
00378_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Cotinis_mutabilis,60
00379_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Cotinis_nitida,60
00380_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Digitonthophagus_gazella,60
00381_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Dynastes_tityus,60
00382_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_basalis,60
00383_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_inda,60
00384_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_kernii,60
00385_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_sepulcralis,60
00386_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Exomala_orientalis,60
00387_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Macrodactylus_subspinosus,60
00388_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Melolontha_melolontha,60
00389_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Oryctes_nasicornis,60
00390_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Osmoderma_scabra,60
00391_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Oxythyrea_funesta,60
00392_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Pelidnota_punctata,60
00393_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Phanaeus_vindex,60
00394_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Phyllopertha_horticola,60
00395_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Polyphylla_decemlineata,60
00396_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Popillia_japonica,60
00397_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Protaetia_cuprea,60
00398_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Strategus_aloeus,60
00399_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Trichiotinus_assimilis,60
00400_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Trichiotinus_texanus,60
00401_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Trichius_fasciatus,60
00402_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Trigonopeltastes_delta,60
00403_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Trypoxylus_dichotomus,60
00404_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Valgus_hemipterus,60
00405_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Necrodes_surinamensis,60
00406_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Necrophila_americana,60
00407_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Nicrophorus_orbicollis,60
00408_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Nicrophorus_tomentosus,60
00409_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Nicrophorus_vespilloides,60
00410_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Oiceoptoma_thoracicum,60
00411_Animalia_Arthropoda_Insecta_Coleoptera_Silphidae_Phosphuga_atrata,60
00412_Animalia_Arthropoda_Insecta_Coleoptera_Staphylinidae_Ocypus_olens,60
00413_Animalia_Arthropoda_Insecta_Coleoptera_Tenebrionidae_Bolitotherus_cornutus,60
00414_Animalia_Arthropoda_Insecta_Coleoptera_Tenebrionidae_Eleodes_obscura,60
00415_Animalia_Arthropoda_Insecta_Coleoptera_Tenebrionidae_Eleodes_osculans,60
00416_Animalia_Arthropoda_Insecta_Coleoptera_Tenebrionidae_Lagria_hirta,60
00417_Animalia_Arthropoda_Insecta_Coleoptera_Zopheridae_Phloeodes_diabolicus,60
00418_Animalia_Arthropoda_Insecta_Coleoptera_Zopheridae_Zopherus_nodulosus,60
00419_Animalia_Arthropoda_Insecta_Dermaptera_Anisolabididae_Euborellia_annulipes,60
00420_Animalia_Arthropoda_Insecta_Dermaptera_Forficulidae_Forficula_auricularia,60
00421_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Dioctria_hyalipennis,60
00422_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Efferia_aestuans,60
00423_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Laphria_macquarti,60
00424_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Laphria_thoracica,60
00425_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Mallophora_fautrix,60
00426_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Mallophora_leschenaulti,60
00427_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Microstylum_morosum,60
00428_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Promachus_hinei,60
00429_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Promachus_rufipes,60
00430_Animalia_Arthropoda_Insecta_Diptera_Asilidae_Triorla_interrupta,60
00431_Animalia_Arthropoda_Insecta_Diptera_Bibionidae_Plecia_nearctica,60
00432_Animalia_Arthropoda_Insecta_Diptera_Bombyliidae_Bombylius_major,60
00433_Animalia_Arthropoda_Insecta_Diptera_Bombyliidae_Poecilanthrax_lucifer,60
00434_Animalia_Arthropoda_Insecta_Diptera_Bombyliidae_Xenox_tigrinus,60
00435_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Calliphora_vicina,60
00436_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Chrysomya_megacephala,60
00437_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Lucilia_sericata,60
00438_Animalia_Arthropoda_Insecta_Diptera_Cecidomyiidae_Asphondylia_auripila,60
00439_Animalia_Arthropoda_Insecta_Diptera_Cecidomyiidae_Rabdophaga_strobiloides,60
00440_Animalia_Arthropoda_Insecta_Diptera_Cecidomyiidae_Rhopalomyia_californica,60
00441_Animalia_Arthropoda_Insecta_Diptera_Cecidomyiidae_Rhopalomyia_solidaginis,60
00442_Animalia_Arthropoda_Insecta_Diptera_Conopidae_Physocephala_tibialis,60
00443_Animalia_Arthropoda_Insecta_Diptera_Culicidae_Aedes_aegypti,60
00444_Animalia_Arthropoda_Insecta_Diptera_Culicidae_Aedes_albopictus,60
00445_Animalia_Arthropoda_Insecta_Diptera_Culicidae_Aedes_vexans,60
00446_Animalia_Arthropoda_Insecta_Diptera_Culicidae_Culex_quinquefasciatus,60
00447_Animalia_Arthropoda_Insecta_Diptera_Culicidae_Psorophora_ciliata,60
00448_Animalia_Arthropoda_Insecta_Diptera_Micropezidae_Rainieria_antennaepes,60
00449_Animalia_Arthropoda_Insecta_Diptera_Muscidae_Mesembrina_meridiana,60
00450_Animalia_Arthropoda_Insecta_Diptera_Muscidae_Musca_domestica,60
00451_Animalia_Arthropoda_Insecta_Diptera_Muscidae_Stomoxys_calcitrans,60
00452_Animalia_Arthropoda_Insecta_Diptera_Mydidae_Mydas_clavatus,60
00453_Animalia_Arthropoda_Insecta_Diptera_Psychodidae_Clogmia_albipunctata,60
00454_Animalia_Arthropoda_Insecta_Diptera_Ptychopteridae_Bittacomorpha_clavipes,60
00455_Animalia_Arthropoda_Insecta_Diptera_Rhagionidae_Chrysopilus_thoracicus,60
00456_Animalia_Arthropoda_Insecta_Diptera_Scathophagidae_Scathophaga_stercoraria,60
00457_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Exaireta_spinigera,60
00458_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Hermetia_illucens,60
00459_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Ptecticus_trivittatus,60
00460_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Allograpta_obliqua,60
00461_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Copestylum_mexicanum,60
00462_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Dioprosopa_clavata,60
00463_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Episyrphus_balteatus,60
00464_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalinus_aeneus,60
00465_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalinus_taeniops,60
